id,url,suburb,state,postcode,short_address,full_address,property_type,price,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,listing_company_phone,auction_date,sold_date,description,listers
138428635,https://www.realestate.com.au/property-apartment-nsw-norwest-138428635,Norwest,NSW,2153,412/2 Lucinda Avenue,"412/2 Lucinda Avenue, Norwest, NSW 2153",apartment,,4.0,3.0,2.0,,,-1.0,,QWPSPL,The Avenue Real Estate Agency - CASTLE HILL,0296343444,,,"Whether your plan is downsizing in style or simply looking for that comfortable lifestyle, then you cannot go past this spacious and modern penthouse in a boutique apartment block of only fourteen.   <br/><br/>Positioned on the top level with northerly aspect, this superb penthouse enjoys plenty of natural light and ultimate privacy with no windows overlooking into the property. It's also noteworthy to mention that there are only two apartments on the same level, making it more private, secure and quiet. <br/><br/>One of the outstanding features of this exclusive residence is the 60m2 private veranda where you can entertain your friends for those special occasions.  <br/><br/>To top it all off, if you are a golf enthusiast, you should be excited to know that the back entry to Castle Hill Country club is only a stone's throw away.    <br/>        <br/>Features:<br/><br/>-	Kitchen with Caesarstone waterfall edge benchtop and Delonghi appliances <br/>-	Master bedroom with walk-in wardrobe and ensuite<br/>-	Second bedroom with an ensuite and all bedrooms with built-in wardrobes <br/>-	Ducted air conditioning, each room on a separate zoning<br/>-	Internal area of approximately 140m2 and veranda 60m2<br/>-	Remote-controlled blinds in the living room<br/>-	Outdoor pool, clubhouse and BBQ area<br/>-	Secure building and carpark with swipe access <br/>-	Double car space plus a storage cage <br/><br/>Location:<br/><br/>-	1.3km to Norwest Metro<br/>-	Approximately 1km to Norwest Marketown<br/>-	700m easy walk to new Bella Vista Public School<br/>-	Arrays of cafes and restaurants within easy walk<br/>-	Less than 200m walk to Castle Hill Country Club's rear entrance<br/><br/>If this sounds like what you've been waiting for, make sure you inspect this property in the early days as it may not last long. Soha and Sherry look forward to greeting you at the open homes. <br/>","[{'id': '690097', 'name': 'Soha Soheili', 'agent_id': None, 'job_title': 'Partner/Licensed Real Estate Agent', 'url': 'https://www.realestate.com.au/agent/soha-soheili-690097?cid={cid}', 'phone': '0409841010', 'email': None}, {'id': '690673', 'name': 'Sherry Soheili', 'agent_id': None, 'job_title': 'Sales', 'url': 'https://www.realestate.com.au/agent/sherry-soheili-690673?cid={cid}', 'phone': '0406048133', 'email': None}]"
138295314,https://www.realestate.com.au/property-house-nsw-shortland-138295314,Shortland,NSW,2307,13 MAWSON STREET,"13 MAWSON STREET, Shortland, NSW 2307",house,,6.0,2.0,0.0,,,1834.0,m²,QTEKRZ,Real Estate Connectors - OLD BAR,0401967001,,,"Set on 1834m2, with width of block being 15.25m, this land is zoned R2 – Low Density Residential within Newcastle City Council. Concept plans for seven townhouses have been drawn up to suit this block, as well as completed contours and geotech reports. There are also plans available for a separate Granny Flat on the back half of the block behind the existing dwelling. These are available to genuine purchasers as part of the sale, upon request.<br/><br/>With historical charm combined with contemporary extensions and renovations, this 6 bedroom, 2.5 bathroom property has plenty of space, backing onto a serene bushland reserve setting. With newly installed reverse-cycle ducted air conditioning, you will be comfortable all year round. Downstairs is a semi-self contained studio with it’s own bathroom, which could also be used as a rumpus or games room. There is a separate shed for your car or extra storage.<br/><br/>This house is perfect for large families, or, within close proximity to the continually expanding University of Newcastle, can be utilised for University Student accommodation; or capitalise on the Private Hospital directly across the road. This large house is within walking distance to Shortland shops which provides for basic needs including a bakery, butcher and pharmacy, and is on the bus route. Shortland Public School is 450m away, and the closest High School is 2.6km.<br/><br/>The property is conveniently located in Shortland, a suburb of Newcastle, NSW, and is located approximately 12km from the Newcastle CBD. Picturesque Lake Macquarie and the famous beaches of Newcastle and Port Stephens are all within a 15-50 minute drive. The M1 Motorway is approximately 15 minutes’ drive, and the property is located a few minutes’ drive from the Pacific Highway.<br/><br/>The property is currently tenanted for $860 pw and tenants are happy to stay. Investors, don’t delay. This is one of the last development opportunities available in Mawson Street, Shortland and surrounds.<br/><br/>MEL ROSAMOND - Real Estate Connector<br/>Mention this add for SPECIAL OFFER when you sell with Mel.<br/>Contact Mel Rosamond on 0401 967 001 for more information.<br/><br/>Disclaimer: The information contained on this property description has been prepared by Real Estate Connectors. The Company has used its best efforts to verify and ensure the accuracy of the information contained herein. The Company accepts no responsibility or liability for any errors, inaccuracies, omissions, or mistakes present in this website. Prospective buyers are advised to conduct their own investigations and make the relevant enquiries required to verify the information contained in this website.","[{'id': '2371578', 'name': 'Mel Rosamond', 'agent_id': None, 'job_title': 'Real Estate Agent', 'url': 'https://www.realestate.com.au/agent/mel-rosamond-2371578?cid={cid}', 'phone': '0401967001', 'email': None}]"
138295306,https://www.realestate.com.au/property-house-nsw-belfield-138295306,Belfield,NSW,2191,9 Baltimore Street,"9 Baltimore Street, Belfield, NSW 2191",house,,3.0,1.0,1.0,,,-1.0,,ELDENF,Elders Inner West - Enfield,0297441212,2022-02-19T14:00:00+11:00,,"Perfectly presented for family living, this single level home sprawls effortlessly across open indoor and outdoor spaces. It occupies a near level 550sqm parcel of land in a tree lined street, near popular Rudd Park, Belfield village, excellent schools and transport.<br/>There are 3 light filled bedrooms, 2 with built ins and main with adjoining study. A gas appointed gourmet kitchen with stone benchtops, stylishly updated bathroom and large laundry with 2nd wc. The separate dining features timber floors and air conditioning and the sweeping rear living room has plenty of room to relax. An expansive covered timber deck welcomes all season alfresco entertaining, separate undercover BBQ area and large level lawn area.","[{'id': '85733', 'name': 'Tony Licastro', 'agent_id': None, 'job_title': 'Licensed Real Estate Agent', 'url': 'https://www.realestate.com.au/agent/tony-licastro-85733?cid={cid}', 'phone': '0416237349', 'email': None}]"
138428491,https://www.realestate.com.au/property-house-nsw-the+ponds-138428491,The Ponds,NSW,2769,45 Meander Crescent,"45 Meander Crescent, The Ponds, NSW 2769",house,,4.0,2.0,2.0,,,500.1,m²,WRYSHJ,First National Hills Direct - The Ponds ,0288832055,2022-02-26T17:00:00+11:00,,"Welcome to this magnificent family home defining modern luxury living, boasting space, design and style. Revealing a myriad of versatile living and dining spaces filled with natural light and generous accommodation enhanced by premium features and inclusions throughout. Perfectly positioned within walking distance to parks, bus transport, The Ponds Shopping Centre, John Palmer Primary and The Ponds High Schools with easy access to Tallawong Metro Station and Rouse Hill Town Centre.<br/><br/>- Unobstructed parkland views from the front of the house<br/>- Open plan living and dining area plus meals area adjoining kitchen opening to alfresco<br/>- Formal living upon entry, versatile home office/study upon entry, enclosed media room/potential fifth bedroom<br/>- Beautiful kitchen with 900mm free-standing gas cooktop, stone benchtops, sleek cabinetry<br/>- Palatial master retreat complete with lavish ensuite, walk-in wardrobe and private balcony<br/>- Three more generous sized bedrooms all fitted with built-in robes, one with two built-in-robes<br/>- Two stylish bathrooms, main with shower, bath and separate toilet, powder room downstairs<br/>- Sparkling saltwater swimming pool surrounded by manicured timber decking and easy-care lawns<br/>- Double garage to the rear of the property, internal entry and yard access<br/>- Luxuries include ducted air conditioning, downlights throughout, ceiling fans, video intercom doorbell, security alarm, abundance of storage and the list goes on <br/><br/>Resting on a 500m² block in one of The Ponds most desired locations, this flawless family home is close to wide range of facilities this wonderful community has on offer, including reserves, sporting facilities, quality schools, shopping and transport options, perfect for a relaxed lifestyle.<br/><br/>********************<br/>Disclaimer:<br/>The above information has been gathered from sources that we believe are reliable. However, we cannot guarantee the accuracy of this information and nor do we accept responsibility for its accuracy. Any interested parties should rely on their own enquiries and judgment to determine the accuracy of this information. For inclusions refer to Contract.<br/><br/>","[{'id': '2236058', 'name': 'Eddie Quispe', 'agent_id': 'ac31c12b-8844-488d-9cc9-f9a2a46ed642', 'job_title': 'Senior Sales Executive', 'url': 'https://www.realestate.com.au/agent/eddie-quispe-2236058?cid={cid}', 'phone': '0448574468', 'email': None}, {'id': '2601386', 'name': 'Amy Raisin', 'agent_id': None, 'job_title': 'Executive Assistant to Eddie Quispe', 'url': 'https://www.realestate.com.au/agent/amy-raisin-2601386?cid={cid}', 'phone': '0449112002', 'email': None}]"
138572011,https://www.realestate.com.au/property-house-nsw-bronte-138572011,Bronte,NSW,2024,5 Pembroke Street,"5 Pembroke Street, Bronte, NSW 2024",house,8000000.0,4.0,2.0,2.0,175,m²,-1.0,,IGHFHC,Trow Jones - BONDI JUNCTION,0286675330,2022-03-19T12:00:00+11:00,,"This architect-designed-and-owned free-standing home offers the ultimate Bronte lifestyle with its breathtaking beach views and outstanding location. An oasis of relaxed luxury that embraces its sweeping ocean vistas. <br/><br/>- Free-standing house with beach & ocean views <br/>- Privately elevated and tucked away on a tranquil cul-de-sac<br/>- Sun-drenched north-easterly aspect and abundant natural light<br/>- Architect designed-and-owned with luxurious, custom finishes inside and out<br/>- Effortless indoor/outdoor living and alfresco entertaining areas<br/>- Spacious terraces off the living and master bedroom capture the iconic views<br/>- Four spacious bedrooms, two marble bathrooms<br/>- Sleek marble kitchen and integrated Miele appliances<br/>- Two car garage plus driveway parking<br/>- Effortless low-maintenance living<br/>- Walk to Bronte Beach and Macpherson St village shops<br/><br/>Inspect by private appointment only - Call Mark Jones on 0467 942 377","[{'id': '2097474', 'name': 'Mark Jones', 'agent_id': None, 'job_title': 'Director', 'url': 'https://www.realestate.com.au/agent/mark-jones-2097474?cid={cid}', 'phone': '0467942377', 'email': None}]"
137301398,https://www.realestate.com.au/property-unit-nsw-northmead-137301398,Northmead,NSW,2152,13/14-16 Campbell Street,"13/14-16 Campbell Street, Northmead, NSW 2152",unit,,2.0,2.0,1.0,,,-1.0,,APJQYP,Century 21 The Hills District - CASTLE HILL,0296342121,,,"This spacious and light filled apartment is a delight to come home to. Enjoying a leafy district outlook with total privacy, the property offers generous proportions throughout and is situated in a pivotal location a short stroll to schools, shops, and transport hubs.<br/><br/>Featuring:<br/><br/>- Refreshed throughout with spacious living and dining.<br/>- Carpeted throughout <br/>- Quiet and private outlook to both the common area and as well as out from complex.<br/>- Elevated position offers privacy and security.<br/>- Generous entertaining balconies opening from the living area and bedroom.<br/>- Quality gas kitchen with stainless steel appliances and gas cooktop.<br/>- Spacious master bedroom with robes and ensuite bathroom.<br/>- Single lock up garage<br/>- Resort style pool and BBQ common facilities.<br/><br/>Quality properties within this complex don't last long! For more information or to secure your private inspection, please contact Martin Baldacchino on 0491 21 21 21 or Amit Thaker 0401339555<br/><br/>Century 21 The Hills District ONLINE enquiry policy -<br/>All ONLINE enquiries received from this website require BOTH a daytime phone number and email address. Incomplete enquiries will not be attended to.<br/>""All information contained herein is gathered from sources we deem to be reliable. However, we cannot guarantee its accuracy and interested persons should rely on their own enquiries.<br/>","[{'id': '2040390', 'name': 'Martin Baldacchino', 'agent_id': '4ac90e11-9c3b-4f7d-94bf-f70d120fc5ec', 'job_title': 'Principal', 'url': 'https://www.realestate.com.au/agent/martin-baldacchino-2040390?cid={cid}', 'phone': '0491212121', 'email': None}, {'id': '2892590', 'name': 'Amit Thaker', 'agent_id': 'ca11099f-71af-4087-8691-e0b895294878', 'job_title': 'Licensed Real Estate Agent', 'url': 'https://www.realestate.com.au/agent/amit-thaker-2892590?cid={cid}', 'phone': '0401339555', 'email': None}]"
138571951,https://www.realestate.com.au/property-apartment-nsw-summer+hill-138571951,Summer Hill,NSW,2130,4/3 Allman Avenue,"4/3 Allman Avenue, Summer Hill, NSW 2130",apartment,,2.0,1.0,0.0,67,m²,-1.0,,XFNSUM,Harris Tripp - Summer Hill,0287524500,2022-03-12T09:30:00+11:00,,"In a prized cul-de-sac lined with vintage buildings, this newly updated apartment offers an exceptionally bright, chic and convenient lifestyle within an eight-minute walk to Summer Hill Station. A perfect northeast aspect floods its immaculate interiors with light, and its gorgeous main bedroom boasts a versatile study or sunroom. Brand new facilities and fixtures add a fresh contemporary tone, all complemented by classic Art Deco details that reflect the superb pedigree of its well-maintained boutique block. Best of all, it is only 350 metres to hip cafes, wine bars, restaurants and gourmet grocers in Summer Hill Village, as well as the leafy grounds of Darryl Jackson Gardens.<br/><br/>- Air conditioned living room with a gas heating outlet<br/>- Smart eat-in kitchen equipped has unique 1901 sink<br/>- A new Westinghouse oven plus a new gas cooktop<br/>- Timber benchtops, dishwasher and internal laundry<br/>- Sunroom/study is fitted with a large built-in robe<br/>- Bright bathroom has ultra-stylish fittings and bathtub<br/>- The extra high ceilings create a great sense of space<br/>- Polished timber and floating herringbone-style flooring<br/>- Invitingly small block with an original terrazzo entrance<br/>- Quiet and friendly cul-de-sac has easy on-street parking<br/>- Near One Penny Red, Envy Deli Café, Temperance Society<br/><br/>Strata: $997 per quarter, approximately<br/>Council: $331 per quarter, approximately<br/>Water: $147 per quarter, approximately","[{'id': '2061098', 'name': 'Sharon Skrabanich', 'agent_id': None, 'job_title': 'Licensed Real Estate Agent', 'url': 'https://www.realestate.com.au/agent/sharon-skrabanich-2061098?cid={cid}', 'phone': '0452066707', 'email': None}, {'id': '2718718', 'name': 'Diana Gareeva', 'agent_id': None, 'job_title': 'Sales Associate', 'url': 'https://www.realestate.com.au/agent/diana-gareeva-2718718?cid={cid}', 'phone': '0409020304', 'email': None}]"
138428375,https://www.realestate.com.au/property-house-nsw-orange-138428375,Orange,NSW,2800,39 Sunny South Crescent,"39 Sunny South Crescent, Orange, NSW 2800",house,620000.0,3.0,1.0,1.0,,,714.5,m²,XLJORA,Professionals Orange -   ,0263617622,,,"Whether you are making a successful start in property, downsizing with ease, or securing a rewarding investment, this three-bedroom brick and tile home will fulfill your brief. On offer for the first time in almost 30 years, this is a solid property that has been well cared for and is ready for a new family to make treasured memories.<br/><br/>Traditional lines introduce the inviting proportions of a layout that features a bright lounge room flowing into dedicated dining and a neat-as-a-pin kitchen. All bedrooms are fitted with built-in robes served by a spotless bathroom with separate w/c. A single garage with rear roller door, large shed and leafy gardens complete this neat retreat that has passed all the tests of time – and provides enticing further scope for the future. <br/><br/>This peaceful south Orange neighbourhood is close to parkland and the aquatic centre and just 2km from both public and high schools making it ideal for families. The convenience factor also includes a quick sprint to the Gardiner Road corner shop, while the centre of town is a five-minute dash by car. <br/><br/>	North Facing back yard <br/>	Gas Wall Heating <br/>	All 3 Bedrooms have built in Wardrobes <br/>	Single level brick and tile home on 715sqm block <br/>	Classic layout featuring adjoining lounge and dining spaces with neutral décor and carpet underfoot<br/>	Spotless kitchen with electric stove, dishwasher and breakfast bar<br/>	Immaculate original bathroom with bath, shower, and separate w/c<br/>	Three generously proportioned bedrooms fitted with built-in robes<br/>	Single garage with rear roller door and two garden sheds<br/>	Low maintenance gardens<br/>	Move-in or rent-out ready with scope to modernise and add value<br/>	Zoned Orange Public and Orange High schools, 500m to Christian pre-school<br/>","[{'id': '26311', 'name': 'Pat Cutcliffe', 'agent_id': None, 'job_title': 'Managing Director', 'url': 'https://www.realestate.com.au/agent/pat-cutcliffe-26311?cid={cid}', 'phone': '0417481158', 'email': None}, {'id': '2904699', 'name': 'Lucas Ferrari', 'agent_id': None, 'job_title': 'Licenced Real Estate Agent', 'url': 'https://www.realestate.com.au/agent/lucas-ferrari-2904699?cid={cid}', 'phone': '0407843404', 'email': None}]"
138571939,https://www.realestate.com.au/property-house-nsw-annandale-138571939,Annandale,NSW,2038,343 Annandale Street,"343 Annandale Street, Annandale, NSW 2038",house,,5.0,3.0,0.0,,,398.0,m²,CCYSQI,BresicWhitney Estate Agents -  Glebe ,0293565555,2022-03-12T09:45:00+11:00,,"Auction Location: On site. <br/><br/>A freestanding residence on a large 398sqm block, this c1904 home has been sympathetically updated throughout, adding contemporary warmth and quality alongside its preserved detail. Full of light with a flexible floorplan for family life and entertaining, step into a sought-after north Annandale pocket, an easy walk to Booth Street shopping, as well as harbour-side parklands, the light rail and cafe hubs. Free Building & Pest Report at bw.com.au.<br/><br/>Highlights<br/>* Victorian facade & hedged front entry<br/>* Beautifully preserved period elements<br/>* Separate family living & dining spaces<br/>* Highlight windows, rich natural sunlight<br/>* Large stone kitchen w/ gas cooking<br/>* Opens out to a private timber deck<br/>* Large paved backyard & lush gardens<br/>* Top-floor retreat w/ office/playroom<br/>* Glimpses of the water & Harbour Bridge<br/>* Large under-house storage/wine cellar","[{'id': '1042879', 'name': 'Chris Nunn', 'agent_id': '83c5bcf1-b65a-420f-be38-4a1e05796c4a', 'job_title': 'Principal', 'url': 'https://www.realestate.com.au/agent/chris-nunn-1042879?cid={cid}', 'phone': '0430030287', 'email': None}, {'id': '2498542', 'name': 'Luke Grosvenor', 'agent_id': '3b152d36-5349-4bbd-b775-0400cb303c14', 'job_title': None, 'url': 'https://www.realestate.com.au/agent/luke-grosvenor-2498542?cid={cid}', 'phone': '0422792983', 'email': None}]"
138571931,https://www.realestate.com.au/property-apartment-nsw-camperdown-138571931,Camperdown,NSW,2050,3/36-46 Briggs Street,"3/36-46 Briggs Street, Camperdown, NSW 2050",apartment,,2.0,2.0,1.0,,,-1.0,,GWGVNH,Belle Property - Pyrmont,0285701111,2022-03-12T14:00:00+11:00,,"Stunning garden courtyard apartment offering leafy privacy and a superb lifestyle location. Featuring generous proportions throughout, it offers a great low maintenance living environment with excellent security and a highly convenient position in the heart of Camperdown. This well-appointed and spacious home is ideally located and enjoys close proximity to RPA hospital, Sydney Uni and all of the nearby additional transport and lifestyle amenities at Newtown.<br/><br/>Features include:<br/><br/>- A rare boutique block of only 14 apartments<br/>- Tastefully updated with new polished floors throughout<br/>- Seamless easy level flow to an expansive private dining courtyard & landscaped garden<br/>- Renovated kitchen equipped with sleek stainless steel gas fittings <br/>- Two double bedrooms are positioned at separate ends of the floorplan<br/>- Renovated main & ensuite bathrooms plus a separate internal laundry<br/>- Security basement car space, intercom entry & generous built-in storage<br/><br/>","[{'id': '2719898', 'name': 'Maria Magrin', 'agent_id': None, 'job_title': 'Associate Director', 'url': 'https://www.realestate.com.au/agent/maria-magrin-2719898?cid={cid}', 'phone': '0419220503', 'email': None}]"
