id,url,suburb,state,postcode,short_address,full_address,property_type,price,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,listing_company_phone,auction_date,sold_date,description,listers
138296446,https://www.realestate.com.au/sold/property-house-nsw-collaroy+plateau-138296446,Collaroy Plateau,NSW,2097,2 Kangaroo Road,"2 Kangaroo Road, Collaroy Plateau, NSW 2097",house,4150000,5.0,4.0,6.0,,,489.0,m²,XRHCOL,UPSTATE,0299719000,,17 Feb 2022,"From its gorgeous Hamptons facade to its lush level garden and ocean views, this brand new, master-built architect-designed home captures the very essence of laidback luxury. Crafted with an exacting attention to detail, the family focused layout, reveals a choice of living spaces, plus a dream island kitchen placed at its social heart. Upstairs offers four bedrooms plus a casual living room, all oriented to capture views to the ocean and city skyline. A fifth bedroom and study rests on the lower level, including a free-flowing living area that extends to a fully equipped outdoor entertainers haven and sparkling pool. Its sought-after position is placed a short stroll to Collaroy Plateau Primary School, locale shops, buses and an easy bike ride to the beach.<br/><br/>- Overdelivers in style, space and family functionality, absolutely nothing to do<br/>- Equipped with every creature comfort for year-round comfort<br/>- Elevated to capture stunning sunrises, moonrises and ocean breezes<br/>- Open plan living domain offers effortless indoor/outdoor integration<br/>- Smart stone island kitchen with Miele appliances and butler's pantry<br/>- Four upstairs bedrooms with built-ins, master with walk-in and ensuite<br/>- TV/media room, custom study ideal for those working from home<br/>- Glamourous bathrooms, functional laundry, generous storage options<br/>- All-season alfresco entertaining area, in-ground pool and level lawn<br/>- Crisp white interiors are finished with herringbone Oak floors, video intercom<br/>- Dramatic 3m and 2.7m high ceilings deliver a sense of space, light and air flow<br/>- 8 zone ducted air conditioning with smart technology, alarm, security system<br/>- Double garage with internal access, ample driveway parking for a boat or trailer <br/><br/>Water Rates - $179 Per Quarter<br/>Council Rates - $351 Per Quarter","[{'id': '48055', 'name': 'Martin Orth', 'agent_id': None, 'job_title': 'Licensed Real Estate Agent', 'url': 'https://www.realestate.com.au/agent/martin-orth-48055?cid={cid}', 'phone': None, 'email': None}, {'id': '67137', 'name': 'Kim Adams', 'agent_id': None, 'job_title': 'Licensed Real Estate Agent', 'url': 'https://www.realestate.com.au/agent/kim-adams-67137?cid={cid}', 'phone': None, 'email': None}]"
138426779,https://www.realestate.com.au/sold/property-house-nsw-randwick-138426779,Randwick,NSW,2031,285 Darley Road,"285 Darley Road, Randwick, NSW 2031",house,3150000,3.0,1.0,1.0,,,-1.0,,XOEVVN,PPD Real Estate,0283551111,,17 Feb 2022,"Perched high on the ridge overlooking Queens Park, this sun-filled family home holds a prized parkfront setting with a 6m setback delivering a superb sense of peace and privacy. Channelling the relaxed vibe of the Amalfi Coast, the two storey home is wrapped in lush tropical gardens with a sequence of outdoor spaces for relaxing or entertaining in the sunshine. Facing north with views over the park from both levels, the 7m wide semi is freestanding to the east and embraces the outdoors with bright and breezy living spaces and a skylit island kitchen leading out to a Blackbutt deck and garden cabana. A pared back aesthetic with shades of white evokes a sense of calm enhanced by tranquil leafy outlooks with a study or playroom and scope to extend the upper level in the future (STCA). With the park as your playground, the three-bedroom home is footsteps to Shed Cafe and an easy walk to Centennial Park making it ideal for the active family with close proximity to a choice of beaches and schools.<br/><br/>*  Private setting opposite Queens Park<br/>*  Sunny NE aspect, 7m wide frontage <br/>*  Deep setback with off street parking  <br/>*  Sweeping views over the park grounds<br/>*  Wide entry hall, whitewashed boards <br/>*  3 double bedrooms, 2 with built-ins <br/>*  Study/retreat with a Velux sky window<br/>*  Spacious dining, classic high ceilings<br/>*  Open plan living with a leafy outlook <br/>*  Family friendly Caesarstone kitchen<br/>*  Smeg gas cooker, Bosch dishwasher<br/>*  Breakfast bar/casual dining, reverse air<br/>*  Blackbutt deck and established gardens<br/>*  Garden cabana, workshop/store shed<br/>*  Fresh white bathroom with a bathtub<br/>*  Separate laundry with an extra W.C. <br/>*  Sandstone foundations, cellar storage<br/>*  Attic storage and Velux sky windows<br/>*  Outdoor lighting, magical by night <br/>*  Potential to further extend STCA<br/>*  300m stroll to St Catherine's School <br/>*  Walk across the park to Bondi Junction<br/>*  Close to Bronte and Clovelly Beaches<br/><br/>Please note when attending open for inspections we kindly ask that you adhere to the current COVID safety guidelines.","[{'id': '999687', 'name': 'Alexander Phillips', 'agent_id': '159b3128-59e3-4a6d-b894-1ffebc574e66', 'job_title': 'Partner', 'url': 'https://www.realestate.com.au/agent/alexander-phillips-999687?cid={cid}', 'phone': None, 'email': None}, {'id': '2759854', 'name': 'Gavin Lewis', 'agent_id': None, 'job_title': None, 'url': 'https://www.realestate.com.au/agent/gavin-lewis-2759854?cid={cid}', 'phone': None, 'email': None}]"
137676726,https://www.realestate.com.au/sold/property-unit-nsw-the+entrance+north-137676726,The Entrance North,NSW,2261,11/9-13 Hutton Road,"11/9-13 Hutton Road, The Entrance North, NSW 2261",unit,3100000,3.0,2.0,4.0,,,-1.0,,BCUSHO,DiJones - Central Coast,0243851000,,17 Feb 2022,"Fall in love with this stunning absolute beachfront two-storey penthouse.<br/>Watch the sunrise over the Pacific Ocean and wonderful sunsets over Lake Tuggerah.<br/><br/>Designed for sophisticated coastal living, this exceptional apartment is located within the sought-after Nautilus Building, showcasing high-end finishes throughout.<br/><br/>The complex itself has been built by an award-winning Master Builder.<br/>Marble Travertine floors throughout, including all bathrooms and terraces, Miele appliances, Caesarstone benchtops, fully ducted air-conditioning, video intercom, back-to-base alarm, lift access from the car park to the apartment and camera surveillance security in the underground carpark.<br/><br/>The apartment is of exceptional proportions for an absolute beachfront, boasting;<br/><br/>-       482 sqm on title<br/>-	243 sqm of internal space<br/>-	158 sqm over four terraces<br/>-	18 sqm of planter boxes<br/>-	63 sqm of underground security parking for four cars<br/><br/>The outstanding position, enormous proportions, and quality finishes throughout make this home a very rare and desirable offering.<br/>(All sqm measurements are according to the approved Strata Plan)<br/><br/>11/9-13 Hutton Road, The Entrance North offers a luxurious beachfront lifestyle, and amenities nearby including:<br/><br/>-	A wide choice of excellent restaurants right along the coastal strip<br/>-	The wonderful bicycle track around Lake Tuggerah is 200 metres from the <br/>        Nautilus complex<br/>-       To the north is the Magenta Shores Golf & Country Club; the only private <br/>        golf course located on the Central Coast - and the surfing mecca of <br/>        Soldier's Beach. <br/><br/>To the south are many more pristine beaches: The Entrance Beach, Ocean Baths, Blue Bay and Toowoon Bay. The family-friendly seaside township of The Entrance, Lakeside Shopping Centre, the vibrant & eclectic Long Jetty shopping strip, Bateau Bay Village, Erina Fair and Westfield Tuggerah Shopping Centres include all major retailers and numerous specialty shops.<br/><br/>- The International Crowne Plaza Terrigal Pacific Hotel is only a short drive <br/>  south.<br/>- The Mingara Recreation Club, Tuggerah train station and M1 Motorway are all <br/>   within 15 minutes drive from the apartment. Front door to Sydney CBD is <br/>   approx. 1h 30 min and to Newcastle CBD approx. 1h 10 min.<br/><br/>PARTICULARS<br/>Council Rates: $1,552 approx. per annum<br/>Water Rates: $617 approx. per annum<br/>Strata Levies: $2,724 approx. per quarter<br/><br/>Features<br/><br/>-	Open-plan kitchen-living and dining area<br/>-	3 Bedrooms<br/>-	2 marble Bathrooms with bathtubs<br/>-	Separate 57 sqm upstairs studio/office<br/>-	Media room or storage (24 sqm)<br/>-	3 balconies and one roof terrace (total 158 sqm)<br/>-	Security Underground Parking for 4 cars<br/>-	Reverse-cycle Air Conditioning<br/>-	Elevator access to car park<br/>-	Intercom<br/>-	Security System<br/><br/><br/>E & OE. Please note that all information herein is gathered from sources we believe to be reliable; however, we cannot guarantee its accuracy, and interested parties should rely on their own enquiries.<br/>","[{'id': '2757902', 'name': 'Craig Fisher', 'agent_id': 'f2a91f19-d3f7-408f-acce-6314e1bbe4c6', 'job_title': 'Residential Sales', 'url': 'https://www.realestate.com.au/agent/craig-fisher-2757902?cid={cid}', 'phone': None, 'email': None}, {'id': '2757906', 'name': 'Carla Brodt', 'agent_id': None, 'job_title': 'Residential Sales', 'url': 'https://www.realestate.com.au/agent/carla-brodt-2757906?cid={cid}', 'phone': None, 'email': None}]"
138473575,https://www.realestate.com.au/sold/property-house-nsw-woolooware-138473575,Woolooware,NSW,2230,6 Ambyne Street,"6 Ambyne Street, Woolooware, NSW 2230",house,3055000,5.0,3.0,2.0,,,436.0,m²,BWZQTE,Highland - Sutherland Shire & St George,0295234333,,17 Feb 2022,"Showcasing soaring ceilings, designer finishes and an unrivaled selection of entertaining spaces, this character filled home is truly one of the area's most unique and spectacular offerings.<br/><br/>High Points<br/>- Architecturally designed home finished to the highest standards<br/>- Large decked entertaining area complete with outdoor barbecue<br/>- Five well proportioned bedrooms, master with ensuite, balcony & walk-in robe<br/>- Gourmet kitchen with stone benchtops and quality gas European appliances<br/>- Oak timber flooring, ducted air-conditioning and security intercom entry<br/>- Internal laundry, study nook and an abundance of storage throughout<br/>- Solar heated in-ground pool surrounded by stunningly landscaped gardens<br/>- Moments to schools, shops, transport & Cronulla's famous beaches<br/><br/>For all your home loan needs please give the team at Highland Financial Services a call on 02 9523 2699 or visit www.highlandfinancialservices.com.au","[{'id': '374486', 'name': 'Mitchell Wynn', 'agent_id': None, 'job_title': 'Partner - Sales Agent', 'url': 'https://www.realestate.com.au/agent/mitchell-wynn-374486?cid={cid}', 'phone': None, 'email': None}, {'id': '251446', 'name': 'Laura McKay', 'agent_id': None, 'job_title': 'Group General Manager - Sales', 'url': 'https://www.realestate.com.au/agent/laura-mckay-251446?cid={cid}', 'phone': None, 'email': None}]"
138054478,https://www.realestate.com.au/sold/property-house-nsw-surry+hills-138054478,Surry Hills,NSW,2010,410 Bourke Street,"410 Bourke Street, Surry Hills, NSW 2010",house,3015000,3.0,2.0,0.0,180,m²,152.0,m²,BZMDAR,Bresic Whitney Estate Agents -  Darlinghurst,0293565555,,17 Feb 2022,"Auction Location: On site. <br/><br/>Forthcoming Auction - Currently configured as two residences, there's the main two-bedroom terrace plus a self-contained studio with its own private entry. Potential for dual income or combined home/investment in one of the inner-city's most convenient and desirable pockets.<br/><br/>Highlights<br/>* Two-bed terrace + self-contained studio<br/>* Mixed use zoning, huge 5.5m frontage<br/>* Victorian features layered with updates<br/>* Raw textures and high-end design ideas<br/>* Huge master with built-ins, balcony, A/C<br/>* Eat-in gas kitchen with concealed laundry<br/>* Split-level studio with full kitchen & bath<br/>* Large basement/cellar, rear lane access<br/>* Landscaped courtyard garden + outhouse<br/>* Walk-everywhere hub, everything at door","[{'id': '82986', 'name': 'Shannan Whitney', 'agent_id': 'bd08f249-b6f5-40c1-a0bd-b536b217757f', 'job_title': 'Principal', 'url': 'https://www.realestate.com.au/agent/shannan-whitney-82986?cid={cid}', 'phone': None, 'email': None}, {'id': '242736', 'name': 'Nick Gill', 'agent_id': '39ca97d3-9986-4d2a-bba0-f18365fa572e', 'job_title': 'Sales Consultant', 'url': 'https://www.realestate.com.au/agent/nick-gill-242736?cid={cid}', 'phone': None, 'email': None}]"
138378863,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-ourimbah-138378863,Ourimbah,NSW,2258,163 Ourimbah Creek Road,"163 Ourimbah Creek Road, Ourimbah, NSW 2258",acreage,2900000,5.0,3.0,10.0,,,2.29,ha,KATWYO,McGrath - Gosford,0243234833,,17 Feb 2022,"Immerse yourself in the country lifestyle while living only moments away from local conveniences, set on 5.7 acres including a pool and huge machinery shed in the sought-after suburb of Ourimbah. The main home boasting three generous bedrooms and two separate self-contained studios, there is room for multiple generations in this phenomenal home.<br/>- Expansive kitchen featuring stone benchtops and walk-in butler's pantry<br/>- Multiple living and dining areas with fireplaces, ducted air conditioning<br/>- Master retreat with ceiling fan, fireplace and walk-in robe leading to ensuite<br/>- Stunning timber flooring and high ceilings create an open and airy atmosphere<br/>- Two separate studios with kitchenettes and air conditioning, one full bathroom and w/c<br/>- Relax on the covered entertaining deck beholding the beautiful in-ground pool <br/>- Town water, Enviro-Septic system, bore water access and nine water tanks<br/>- Barn style 12m x 12m machinery shed, three stables and tac room with power<br/>- A tranquil billabong and creek meanders through the property's manicured gardens <br/>- Secure and accessible with electric gates and a three minute drive to M1 motorway<br/><br/>KEY DETAILS:<br/>Council Rates $2,977pa<br/>Water Rates $720pa","[{'id': '2121194', 'name': 'Peter Morris', 'agent_id': '9d67dc89-9898-4491-bf73-d5c2a791891f', 'job_title': 'Sales Agent', 'url': 'https://www.realestate.com.au/agent/peter-morris-2121194?cid={cid}', 'phone': None, 'email': None}, {'id': '2619950', 'name': 'Fran Morris', 'agent_id': None, 'job_title': 'Associate Agent', 'url': 'https://www.realestate.com.au/agent/fran-morris-2619950?cid={cid}', 'phone': None, 'email': None}]"
138436919,https://www.realestate.com.au/sold/property-house-nsw-gordon-138436919,Gordon,NSW,2072,21 Baldwin Street,"21 Baldwin Street, Gordon, NSW 2072",house,2800000,4.0,2.0,2.0,,,974.0,m²,XRWGDN,Asset Realty -    ,(02)94987799,,17 Feb 2022,"Loved for the last 40 years is this charming family home nestled on a rectangular 974 sqm of manicured land. With near level access from the street, you are greeted by a picturesque English Garden which will surely impress as you are led over sandstone to your reception. The single level accommodation has a natural flow as one wing leads to your bedrooms and the other to your living area with an eat-in Kitchen at its heart. There are three well-proportioned bedrooms with tranquil aspects, centered around a family bathroom and a separate W.C. The other wing comprises a formal/informal lounge/dining area with dual aspect and beautiful vistas flowing seamlessly to the covered entertaining deck. There is an additional teenage/in-laws retreat on the lower level with separate access. <br/>The landscaped gardens have been meticulously cultivated over the current owner's tenure with the purchaser reaping the rewards of their achievement. Child-friendly lawns now offer outdoor options aplenty where one can retreat and play. A built-in BBQ greets you poolside with a shady dining patio complementing this space. A separate complete bathroom is also located on the Pool level. The lock up garage has a high clearance for storage with plenty of additional storage around the house. <br/><br/>The home is located within close proximity to Gordon's transport and shopping precinct, St Ives Shopping Centre and surrounded by excellent public and private schools. <br/>This unique opportunity normally comes once in a generation, so come and inspect.<br/><br/>Property Highlights: <br/>•974sqm block of land offering sweeping panoramic views from the backyard.<br/>•Three bedrooms with beautiful, bright and leafy outlook, two with built-in robes.<br/>•Bathroom with shower over bath (great for small kids and infants).<br/>•Formal/Informal combined living and dining rooms featuring a bay window.<br/>•Alfresco covered entertaining deck with sweeping views over Degotardi Park.<br/>•Sun-drenched elegant eat-in kitchen with breakfast area and pantry.<br/>•Multiple outdoor entertaining spaces including bespoke outdoor BBQ, level lawns, an entertaining terrace and a resort style pool. <br/>•In-law's/Teenager's retreat and additional bathroom including a Laundry <br/>•Lock up garage with ample space for storage and an internal access.<br/>•450 metre walk to Gordon East Primary School and Killara High School catchment<br/>•1.5km to Gordon's train station and shopping. 7km to Chatswood and 20km to Sydney's CBD.","[{'id': '698853', 'name': 'Ari Akbarian', 'agent_id': '2b4b20a4-60f9-40de-8d9d-08336bb218a5', 'job_title': 'Licensed Real Estate Agent', 'url': 'https://www.realestate.com.au/agent/ari-akbarian-698853?cid={cid}', 'phone': None, 'email': None}, {'id': '72776', 'name': 'Sima Akbarian', 'agent_id': '36421c2c-de13-4cde-ba72-d39f324b3807', 'job_title': 'Director / Licensee', 'url': 'https://www.realestate.com.au/agent/sima-akbarian-72776?cid={cid}', 'phone': None, 'email': None}]"
138258018,https://www.realestate.com.au/sold/property-house-nsw-gerringong-138258018,Gerringong,NSW,2534,16 Sharwood Place,"16 Sharwood Place, Gerringong, NSW 2534",house,2700000,3.0,2.0,0.0,,,556.0,m²,ABCGER,First National Coast & Country -   ,0242341911,,17 Feb 2022,"This is coastal living at its best. Walk out your back gate, across the grass to the beach and feel like you are on holidays every day. The golden sands of Werri Beach are literally 250m away and you can hear the waves calling you over, to go for a swim or surf! Maybe you will just grab a coffee and start the day a little slower by heading out to your sun-drenched deck to survey the swell first. This beachside location has it all, so close to the patrolled beach end of the beach and rockpool, yet still close to the Gerringong township to meet friends at the cafes or the Hill Bar. Features include timber floorboards, ocean views from the main bedroom and living areas, open plan living, robes for all bedrooms and a huge entertaining deck. Out the back, a brand-new pool awaits, along with a huge undercover area with great storage, plus a toilet and shower for when you arrive home from the beach. Quiet culdesac location and the spacious backyard is complemented by the reserve over the back fence, ideal for a game of cricket. If you're looking for a perfectly positioned weekender or somewhere to settle down, this might be the one.","[{'id': '761379', 'name': 'Jason Stalgis', 'agent_id': None, 'job_title': 'Principal / Sales', 'url': 'https://www.realestate.com.au/agent/jason-stalgis-761379?cid={cid}', 'phone': None, 'email': None}]"
138416783,https://www.realestate.com.au/sold/property-house-nsw-camperdown-138416783,Camperdown,NSW,2050,91 Australia Street,"91 Australia Street, Camperdown, NSW 2050",house,2500000,3.0,1.0,0.0,,,127.0,m²,CCYSQI,BresicWhitney Estate Agents -  Glebe ,0293565555,,17 Feb 2022,"Auction Location: On site. <br/><br/>Generously scaled over two levels, this terrace offers plenty of livability now plus ample future scope. Metres to Camperdown Park and Commons, it's inner-city convenience with a suburban spirit.<br/><br/>Highlights<br/>* Family-sized terrace close to parkland<br/>* Separate formal and informal living areas<br/>* Gas kitchen, c/stone benches, atrium ceiling<br/>* High ornate ceilings, polished wood floors<br/>* Open living flows to patio/courtyard + shed<br/>* Three generous bedrooms plus study nook<br/>* Master bed with front balcony and fireplace<br/>* Internal laundry/guest WC, gate to rear lane<br/>* Close to parks, city transport, universities<br/>* Free Building & Pest Report: bw.com.au","[{'id': '1042879', 'name': 'Chris Nunn', 'agent_id': '83c5bcf1-b65a-420f-be38-4a1e05796c4a', 'job_title': 'Principal', 'url': 'https://www.realestate.com.au/agent/chris-nunn-1042879?cid={cid}', 'phone': None, 'email': None}, {'id': '2498542', 'name': 'Luke Grosvenor', 'agent_id': '3b152d36-5349-4bbd-b775-0400cb303c14', 'job_title': None, 'url': 'https://www.realestate.com.au/agent/luke-grosvenor-2498542?cid={cid}', 'phone': None, 'email': None}]"
138232278,https://www.realestate.com.au/sold/property-house-nsw-killarney+heights-138232278,Killarney Heights,NSW,2087,4 Carlow Crescent,"4 Carlow Crescent, Killarney Heights, NSW 2087",house,2400000,4.0,4.0,3.0,,,721.0,m²,SKYFRE,Skyline Real Estate - FRENCHS FOREST,0294523444,,17 Feb 2022,"Located in a quality street is this spacious, open plan family home filled with charm and character and all on a leafy 721sqm block of land<br/>Quiet and private home with a garden outlook from every room<br/>The flexible floor plan and numerous living areas allow the family to spread out - great spaces for growing teens to have their own space and privacy<br/>Large floor to ceiling windows ensures plenty of natural light and keeping you in touch with the natural leafy setting<br/>Features:-<br/>4 good size bedrooms - three with built-in robes<br/>4 bathrooms including 2 Ensuites - main ensuite with large spa bath<br/>Two huge, separate living rooms both with open fire places<br/>Updated kitchen with breakfast bar and open to the rear decking and pool area<br/>Large undercover deck space with electric vergola and open to the inground pool, BBQ and entertaining areas<br/>Polished timber flooring, internal sauna room plus second spa<br/>3 car garaging plus loads of storage<br/>Other great features include lovely rock gardens, Koi pond, all round decking allows you to entertain in or out of the sun  - this is your own private tropical retreat<br/>Close to bus stop, Killarney High School, local shops and Forestville Center<br/>This is an excellent family home in a quality location<br/>* Auction On-Site Saturday 5th Feb at 10.30am.","[{'id': '91183', 'name': 'Stuart Bath', 'agent_id': '66fab0d5-7996-4250-af17-9fa693d0a75f', 'job_title': 'Director / Principle / Licensee', 'url': 'https://www.realestate.com.au/agent/stuart-bath-91183?cid={cid}', 'phone': None, 'email': None}, {'id': '2844738', 'name': 'Nicole Holicky', 'agent_id': None, 'job_title': 'Sales Associate', 'url': 'https://www.realestate.com.au/agent/nicole-holicky-2844738?cid={cid}', 'phone': None, 'email': None}]"
