id,url,suburb,state,postcode,short_address,full_address,property_type,price,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,listing_company_phone,auction_date,sold_date,description,listers
138330990,https://www.realestate.com.au/sold/property-house-nsw-oatlands-138330990,Oatlands,NSW,2117,6 Ellis Street,"6 Ellis Street, Oatlands, NSW 2117",house,6550000,4.0,2.0,4.0,,,-1.0,,RLKTTY,McGrath - Parramatta,0294077800,,19 Feb 2022,"Occupying an extensive 2,751sqm block with 40 metre frontage, this double brick residence presents a once-in-a-lifetime opportunity in one of Oatlands' best streets. It's set amid lush gardens and sweeping lawns, just moments from Oatlands Golf Club.<br/><br/>- Outstanding potential for redevelopment/subdivision (STCA)<br/>- Scope to bring the existing home back to its former glory<br/>- Single level layout offers excellent indoor to outdoor living<br/>- Multiple outdoor spaces for entertaining, salt water pool<br/>- Chefs' kitchen with large island bench and ample storage<br/>- All bedrooms connect to outdoor spaces, master has ensuite<br/>- Ducted air conditioning, high ceilings, exposed timber beams<br/>- Versatile outbuilding/teenage retreat plus four car spaces<br/>- Close to The King’s School, Tara and James Ruse Selective<br/>- Easily accessible to major arterial roads and Parramatta CBD","[{'id': '81319', 'name': 'Sandra Aquilina', 'agent_id': '3f72de7a-704e-447b-9e78-0e7a098dc43c', 'job_title': 'Sales Agent', 'url': 'https://www.realestate.com.au/agent/sandra-aquilina-81319?cid={cid}', 'phone': None, 'email': None}]"
138571939,https://www.realestate.com.au/sold/property-house-nsw-annandale-138571939,Annandale,NSW,2038,343 Annandale Street,"343 Annandale Street, Annandale, NSW 2038",house,4700000,5.0,3.0,0.0,,,398.0,m²,CCYSQI,BresicWhitney Estate Agents -  Glebe ,0293565555,,19 Feb 2022,"Auction Location: On site. <br/><br/>A freestanding residence on a large 398sqm block, this c1904 home has been sympathetically updated throughout, adding contemporary warmth and quality alongside its preserved detail. Full of light with a flexible floorplan for family life and entertaining, step into a sought-after north Annandale pocket, an easy walk to Booth Street shopping, as well as harbour-side parklands, the light rail and cafe hubs. Free Building & Pest Report at bw.com.au.<br/><br/>Highlights<br/>* Victorian facade & hedged front entry<br/>* Beautifully preserved period elements<br/>* Separate family living & dining spaces<br/>* Highlight windows, rich natural sunlight<br/>* Large stone kitchen w/ gas cooking<br/>* Opens out to a private timber deck<br/>* Large paved backyard & lush gardens<br/>* Top-floor retreat w/ office/playroom<br/>* Glimpses of the water & Harbour Bridge<br/>* Rear lane access + under-house storage","[{'id': '1042879', 'name': 'Chris Nunn', 'agent_id': '83c5bcf1-b65a-420f-be38-4a1e05796c4a', 'job_title': 'Principal', 'url': 'https://www.realestate.com.au/agent/chris-nunn-1042879?cid={cid}', 'phone': None, 'email': None}, {'id': '2498542', 'name': 'Luke Grosvenor', 'agent_id': '3b152d36-5349-4bbd-b775-0400cb303c14', 'job_title': None, 'url': 'https://www.realestate.com.au/agent/luke-grosvenor-2498542?cid={cid}', 'phone': None, 'email': None}]"
138369979,https://www.realestate.com.au/sold/property-house-nsw-pymble-138369979,Pymble,NSW,2073,4 Kulgoa Road,"4 Kulgoa Road, Pymble, NSW 2073",house,4420000,5.0,3.0,2.0,,,1265.0,m²,XRWTUR,Ray White Upper North Shore -   ,(02)94499066,,19 Feb 2022,"Ray White Upper North Shore is committed to providing a safe environment for our customers to inspect and buy property and we will be adhering to all government guidelines and restrictions. When attending our open homes, you will be required to check in using the service NSW QR code, wear a mask, practice social distancing and adhere to any instructions given by the agent. Please do not attempt to attend our open homes if you are unwell or have been in contact with a positive COVID case.<br/><br/>Provincial elegance, a substantial and thoughtfully conceived floor plan and an exceptional position combine in this stunning brick residence. The immediate feel is one of coming home with luxury spaces exuding a warm welcome. An absolute highlight is its extraordinary entertaining credentials where sweeping living zones spill out on multiple sides to expansive decks and a stunning covered terrace. The practicalities of life have been considered with the lavish gourmet kitchen positioned to overlook the pool and a private home office custom appointed with an abundance of storage and shelving. This beautiful residence rests on 1265sqm of established gardens and rolling lawns in a picturesque and quiet street across from the greenery of Richmond Park. Every detail confirms the home's ability to accommodate a growing family's needs. Positioned steps to bus services, Gordon East Public School, tennis courts, village shops and rail.<br/><br/>Accommodation Features:<br/>* High ceilings, wide French oak flooring<br/>* Gracious and spacious formal lounge room with gas fireplace<br/>* Sweeping open plan living and dining with open fireplace<br/>* Bi-folds and French doors open to the terraces and deck<br/>* Luxury stone appointed kitchen with immense island bench<br/>* Superb commercial style Falcon gas cooker, bi-fold café window<br/>* Large walk-in pantry, custom appointed home office, ducted a/c<br/>* Lower level full bathroom with access from the external deck and pool<br/>* Five upper level bedrooms with robes, ample storage cupboards<br/>* Master suite with superb ensuite, stylish bathrooms, powder room<br/>* Easy internal access to the over-height double lock up garage<br/><br/>External Features: <br/>* Appealing street presence<br/>* Quiet, adjacent to Richmond Park<br/>* Beautifully established landscaped lawns and gardens<br/>* North facing expansive covered alfresco terrace with skylights<br/>* Natural hard stone paving, spacious deck<br/>* Saltwater pool, rolling lawn for the kids<br/>* Under house cellar and storage area<br/><br/>Location Benefits:<br/>* Across from Richmond Park and tennis courts<br/>* 550m to the 195, 195/6, 196 and 197 bus services to St Ives Chase, Gordon station, Mona Vale and Macquarie University<br/>* 150m to Gordon East Public School<br/>* 1.2km to Gordon station<br/>* 1.3km to Gordon's shops, services and eateries<br/>* Easy access to rail and local private schools<br/><br/>Auction<br/>Saturday 19 February, 1pm<br/>Onsite<br/><br/>Contact    	<br/>Rowan Lazar 0412 329 789<br/><br/>Disclaimer: All information contained here is gathered from sources we believe reliable. We have no reason to doubt its accuracy, however we cannot guarantee it.","[{'id': '1889082', 'name': 'Rowan Lazar', 'agent_id': '9b2f42b4-56e2-4e24-8d2b-8d7e5f6db25e', 'job_title': 'Licensed Real Estate Agent', 'url': 'https://www.realestate.com.au/agent/rowan-lazar-1889082?cid={cid}', 'phone': None, 'email': None}]"
138288974,https://www.realestate.com.au/sold/property-house-nsw-kilaben+bay-138288974,Kilaben Bay,NSW,2283,250 Kilaben Road,"250 Kilaben Road, Kilaben Bay, NSW 2283",house,4200000,4.0,3.0,2.0,,,1472.0,m²,XFNTOT,Avery Property Professionals  -   ,0249591677,,19 Feb 2022,"Premier waterfront position with impressive street to waterfront 1472sqm is one of remarkable dimensions with wide 20m frontage to lake. Offered on 2 separate blocks<br/>(916sqm-556sqm). Owned by same family for over 50 years. Perfect playground to enjoy along with boating activities, including kayaking, paddleboarding, fishing, protected from harsh winds.<br/>Private jetty with depth of 1.8M.<br/>Boatshed with electric winch and concrete boat ramp. Well built and presented brick/tile home offering level living.<br/><br/><br/>Features;<br/>-Family friendly home<br/>-4 bedrooms plus study all built ins<br/>-Formal lounge/ dining room<br/>-Eat in kitchen, lots of cupboards, Walk in pantry<br/>-Ensuite & 3rd bathroom<br/>-Full length tiled patio overlooking water<br/><br/>-Separate entry foyer<br/><br/>-3 split system a/c units<br/><br/>-Internal access to double garage, remote doors<br/><br/>Room for extra vehicles, caravan<br/><br/>-Internal access to boatshed<br/>-Family friendly fenced yard, remote garage access<br/><br/>Location;<br/>-2.5km to Toronto shops & cafes<br/>-7km to Sydney Trains<br/>-75min to Northconnex on M1<br/><br/>AUCTION WILL BE HELD ONSITE – TO REGISTER for the Auction via Realtair please visit:<br/>https://buy.realtair.com/properties/84482<br/><br/>INSPECTIONS:<br/>You must pre-register for any open homes through our website under ""Pre-Register"" or contact our office on 4959 1677.<br/>IMPORTANT NOTICE REGARDING COVID-19<br/>As Covid-19 is having a global impact, our agency is taking the necessary precautions, following advice, to do our part to ensure the well-being and safety of our clients, employees & the community.<br/>For your safety & ours, we ask you to wear a mask. Please if you are feeling unwell or have flu like symptoms do not attend any inspections.<br/><br/>Avery Property Professionals are pleased to present this home to the market. Please call Paul Avery today to secure your inspection.<br/>“The Waterfront Specialists”<br/>- Agent Declares Interest-","[{'id': '292071', 'name': 'Paul Avery', 'agent_id': None, 'job_title': 'Director', 'url': 'https://www.realestate.com.au/agent/paul-avery-292071?cid={cid}', 'phone': None, 'email': None}]"
138349487,https://www.realestate.com.au/sold/property-house-nsw-balgowlah-138349487,Balgowlah,NSW,2093,59 Boyle Street,"59 Boyle Street, Balgowlah, NSW 2093",house,3215000,3.0,2.0,1.0,,,-1.0,,CUNBAL,Cunninghams - Northern Beaches,0299497077,,19 Feb 2022,"FIND. Set in one of Balgowlah's most sought-after residential streets and combining glorious Federation character with beautifully renovated interiors, this spacious and light-filled home offers comfortable, easy living flowing over a family-friendly single level.  <br/><br/>LOVE. Brimming with heritage charm, this character-rich home has been carefully renovated to maintain its period detail and features high patterned ceilings, original fireplaces, ornate cornices and architraves, as well as picture rails and stunning leadlight feature windows. <br/>- Deluxe new shaker-profile kitchen with Caesarstone centre island, Ilve gas cooking and integrated dishwasher<br/>- Light and spacious open-plan living/dining with a/c, fireplace and bi-fold doors opening onto entertaining deck <br/>- Timber floorboards plus numerous working original fireplaces with ornate surrounds<br/>- Elegant master suite with beautiful fireplace and feature leadlight windows, built-in robes, ceiling fan, ensuite and versatile adjoining sunroom/ dressing room or home office <br/>- Queen-sized second and third bedrooms with built-in robes and plantation shutters <br/>- Sunny entertainer's deck extending onto child-friendly level lawn <br/>- Contemporary bathroom with bath/overhead shower, Caesarstone vanity, and Euro-style laundry<br/>- Off-street parking <br/><br/>LIVE. Within walking distance of Stockland shopping and Balgowlah village, this delightful home enjoys a true lifestyle address close to schools and public transport. This sought-after setting offers easy access to beautiful beaches, reserves and coastal walkways.<br/><br/><br/>RATES/SIZE:<br/>Water rates: Approx $151 pq<br/>Council rates: Approx $366 pq<br/>Size: Approx 285 sqm<br/><br/>ABOUT THE AREA<br/><br/>Local Transport:<br/>- Buses to city CBD, Chatswood, Westfield Warringah Mall and Manly<br/><br/>Shopping:<br/>- Stockland Balgowlah shopping centre and Balgowlah village provide a choice of cafes, shops and restaurants<br/><br/>Schools:<br/>- Manly West Public School<br/>- Balgowlah Boys Campus<br/>- Mackellar Girls Campus<br/><br/>WHAT THE OWNER LOVES:<br/>- The house has a lovely calm and peaceful feeling, and the period features make it such a beautiful, special place to live <br/>- This is a really easy home to live in and the single level is ideal for young children <br/>- We love how close we are to everything – we can walk to dinner or out for coffee and ride our bikes down to Fairlight or Manly for a swim <br/><br/><br/>Covid-19 Information: Please ensure you have read and understand our most up to date Covid-19 safety guidelines and conditions of entry to our offices and open homes. Please click the following link, or search ""Covid"" on our blog, for full details:  https://bit.ly/Covid10Jan22<br/><br/>Disclaimer: Whilst every effort has been made to ensure the accuracy and thoroughness of the information provided to you in our marketing material, we cannot guarantee the accuracy of the information provided by our Vendors, and as such, Cunninghams makes no statement, representation or warranty, and assumes no legal liability in relation to the accuracy of the information provided. Interested parties should conduct their own due diligence in relation to each property they are considering purchasing. All photographs, maps and images are representative only, for marketing purposes.        ","[{'id': '645711', 'name': 'Georgi Bates', 'agent_id': 'e612e914-a4ea-40d2-8032-32399f1f2413', 'job_title': 'Partner, Residential Sales', 'url': 'https://www.realestate.com.au/agent/georgi-bates-645711?cid={cid}', 'phone': None, 'email': None}, {'id': '2492222', 'name': 'Chris Nicholls', 'agent_id': 'af876b1f-88e8-41c1-b72b-a470131ec6c0', 'job_title': 'Residential Sales', 'url': 'https://www.realestate.com.au/agent/chris-nicholls-2492222?cid={cid}', 'phone': None, 'email': None}]"
137937478,https://www.realestate.com.au/sold/property-house-nsw-casuarina-137937478,Casuarina,NSW,2487,33 Collins Lane,"33 Collins Lane, Casuarina, NSW 2487",house,2900000,4.0,3.0,2.0,,,505.0,m²,XLJKIN,LJ Hooker - Kingscliff,0266741000,,19 Feb 2022,"IMMACULATE SINGLE LEVEL BEACHFRONT CHARMER<br/>DIRECT ACCESS TO CASUARINA BEACH WITH DUAL LIVING OPTION<br/><br/>Here is your opportunity to invest in prime beachfront real estate at entry level pricing. With no neighbour to the south & a park on the beachside, your privacy is assured !!<br/><br/>This custom-built home would suit the home occupier, or is an ideal investment property, with a dual living potential, for extra rental return.  <br/><br/>It represents excellent value in our current market. Our beachfront land is very limited & expensive, so buying an established home makes great investment sense.<br/><br/>Situated in dress circle Collins Lane, on a 16-metre-wide block, this gorgeous, single level home is a rare find.<br/><br/>Cleverly designed for multi-generational living, the 2-bedroom granny flat option includes a self-contained living area, bathroom and kitchenette, for extended family or friends to be accommodated with ease.<br/><br/>Alternatively, the 4 bedroom home has room for a pool and will accommodate a family, or retired couple as required. The 4th bedroom has separate access to the front of the home & would also be ideal for home office use.<br/><br/>With lush parklands surrounding the home and direct beach access from your back gate, you will love this low maintenance, quality beachfront home, where you have time to enjoy our local cafes and highly appointed restaurants.<br/><br/>Relax to the sound of the waves gently breaking on pristine Casuarina Beach at your doorstep.<br/> <br/>COTTAGE STYLE CHARM IN PRIME BEACHFRONT LOCATION<br/><br/>The generous master bedroom opens to a private deck, surrounded by mature gardens and is drenched in sunshine, the perfect spot for your morning cuppa !!!<br/><br/>A very sleek ensuite boasts floor to ceiling tiling, his and hers vanities and a dumper shower to warm up in after your daily surf.<br/><br/>There is ample storage for all your designer clothing and personal items everywhere throughout this entire home.<br/><br/>Entertaining is a dream in the very modern kitchen with Artusi appliances, induction cooktop, steam oven, dishwasher, Caesar stone island benchtop and custom-built cabinetry.<br/><br/>The kitchenette option allows guests or teenagers to cater for themselves. Doesn't that sound like a great idea !!!<br/><br/>A north facing deck, as well as a huge beachside deck means you can entertain in all weather conditions.<br/><br/>CONTACT NICK WITHERIFF on 0405 618 477 TO ARRANGE YOUR PRIVATE VIEWING TODAY<br/><br/><br/>PROPERTY FEATURES:<br/>- 4 good sized bedrooms<br/>- 3 sleek bathrooms<br/>- 2nd laundry & kitchenette option<br/>- Additional study space<br/>- 2nd living room<br/>- 2 outdoor entertaining decks<br/>- Ceiling fans throughout<br/>- 3-metre-high ceilings<br/>- Plantation shutters<br/>- Fully fenced yard with mature gardens<br/>- Alarm set to 2 sections of the home<br/>- Insulated walls and ceilings<br/>- Crimesh Screens <br/>- Ultra colorbond roofing and gutters<br/>- Double garage with extra space for the surfboards<br/>- Granny flat or home office option with separate access<br/>- Permanent rental return (approx.) $1,400 - $1,500 per week<br/>- Holiday returns (approx.) Peak $9,000 - $10,000 per week<br/>- Easter $7,500 - $8,000 per week<br/>- Holidays $5,000 per week<br/>- Off Season $2,500 - $3,000 per week<br/><br/>5 MINUTES TO NEW TWEED VALLEY HOSPITAL (under construction)<br/>15 MINUTES TO GOLD COAST AIRPORT<br/>30 MINUTES TO BYRON BAY<br/>CLOSE TO CAFES, SHOPS, RESTAURANTS, COLES SHOPPING CENTRE, MEDICAL, CHILD CARE, CASUARINA REC CENTRE.<br/><br/>Disclaimer:<br/>All information (including but not limited to the property area, floor size, price, photos, address and general property description) is provided as a convenience to you and has been provided to LJ Hooker by third parties. LJ Hooker is unable to definitively confirm whether the information listed is correct or 100% accurate. LJ Hooker does not accept any liability (direct or indirect) for any injury, loss, claim, damage or any incidental or consequential damages, including but not limited to lost profits or savings, arising out of or in any way connected with the use of any information, or any error, omission or defect in the information, contained on the Website. Information contained on the Website should not be relied upon and you should make your own enquiries and seek legal advice in respect of any property on the Website. Prices displayed on the Website are current at the time of issue, but may change.<br/><br/>","[{'id': '1907410', 'name': 'Nick Witheriff', 'agent_id': '98ffbd2d-9c6c-4517-aae0-c163e9da82d9', 'job_title': 'L.R.E.A (NSW & QLD)', 'url': 'https://www.realestate.com.au/agent/nick-witheriff-1907410?cid={cid}', 'phone': None, 'email': None}, {'id': '1976162', 'name': 'Peta Hunt', 'agent_id': '53f574a4-1015-43e5-8948-0b61366b4f6f', 'job_title': 'Sales Associate', 'url': 'https://www.realestate.com.au/agent/peta-hunt-1976162?cid={cid}', 'phone': None, 'email': None}]"
138314646,https://www.realestate.com.au/sold/property-house-nsw-paddington-138314646,Paddington,NSW,2021,16 Prospect Street,"16 Prospect Street, Paddington, NSW 2021",house,2806000,3.0,2.0,1.0,,,124.0,m²,XOEVVN,PPD Real Estate,0283551111,,19 Feb 2022,"This 6m wide cottage is quintessential Paddington living with all the charm of its 1830s vintage. In a mews-like enclave just behind The Intersection's fashion hub, the two-storey cottage features the bonus of a loft-style studio at the rear with its own private entry and access via Mary Place to secure parking a rare bonus in the heart of the village. Entertain alfresco on the private deck or step outside and explore a world of arts, fashion and entertainment, 100m to institutions like Acne Studios, Mecca and Scanlan & Theodore. Ready for its next make over the last renovation was by Sulman Award winning architect, Vivian Fraser that makes the most of its sunny disposition.<br/>-	1830s cottage with a 6m frontage <br/>-	Cul-de-sac with no through traffic<br/>-	Historic charm, village convenience<br/>-       Short stroll to five ways <br/>-	Warm hardwood floors, exposed brick<br/>-	Main with built-ins and Kauri boards<br/>-	Loads of natural light and fresh air<br/>-	Living room with a Jetmaster fireplace<br/>-	Stainless steel kitchen and open dining<br/>-	Smeg gas cooker, Bosch dishwasher<br/>-	Study/home office opens outdoors <br/>-	Entertainer's deck framed by palms<br/>-	Quiet privacy, an oasis in the city <br/>-	Stylish bathroom with stone finishes <br/>-	Internal laundry, gas heating bayonet<br/>-	Reverse air and plantation shutters <br/>-	Auto secure parking via Mary Place <br/><br/>Please note when attending open for inspections we kindly ask that you adhere to the current COVID safety guidelines.","[{'id': '1948526', 'name': 'Catherine Dixon', 'agent_id': 'e1b526e1-0ce2-4e07-be93-d12894fd9c4e', 'job_title': 'Director, Gracie George Pty Ltd', 'url': 'https://www.realestate.com.au/agent/catherine-dixon-1948526?cid={cid}', 'phone': None, 'email': None}, {'id': '2352042', 'name': 'William Hesketh', 'agent_id': None, 'job_title': 'Licensed Real Estate Agent', 'url': 'https://www.realestate.com.au/agent/william-hesketh-2352042?cid={cid}', 'phone': None, 'email': None}]"
138344211,https://www.realestate.com.au/sold/property-house-nsw-russell+lea-138344211,Russell Lea,NSW,2046,5 Sibbick Street,"5 Sibbick Street, Russell Lea, NSW 2046",house,2715000,3.0,1.0,1.0,,,366.7,m²,XFNDRU,Devine Real Estate - Drummoyne,0298197244,,19 Feb 2022,"Ready to move in and enjoy immediately, this classic Californian bungalow blends beautiful period features with fresh modern updates across a single level layout. It's located within walking distance of riverside parklands, cafés and restaurants, while Five Dock village shops, schools and the popular Bay Run are also close by.<br/><br/>- Charming interiors enhanced by ornate ceilings throughout<br/>- Open plan living and dining zones take in northerly sunshine<br/>- Sizeable alfresco deck steps onto a child-friendly backyard<br/>- Low maintenance rear gardens showcasing established trees<br/>- Updated kitchen has ceramic cooktop and stone benches<br/>- Three generously proportioned bedrooms fitted with built-ins<br/>- Renovated fully tiled bathroom equipped with walk-in shower<br/>- Stunning stained glass windows and polished timber floorboards<br/>- Dedicated study, ducted air conditioning, complete new roof<br/>- Solar panels, side driveway to lock-up garage with storage<br/>- Easy access to major roads providing handy links to the CBD<br/>- Excellent prospect for families, professionals or downsizers<br/><br/>Land Size: 366.7 sqm (approx.) <br/><br/>Water: $230 p.q (approx.) <br/>Council: $438.17 p.q (approx.)","[{'id': '1594478', 'name': 'Joe Kanaan', 'agent_id': '3f9c2ed8-ddec-477b-ae31-c67845f6bd3a', 'job_title': 'Sales Consultant', 'url': 'https://www.realestate.com.au/agent/joe-kanaan-1594478?cid={cid}', 'phone': None, 'email': None}, {'id': '846087', 'name': 'Fayez Yammine', 'agent_id': '6333775f-5a77-484f-8eb4-0e3049f2042c', 'job_title': 'Director / Sales Consultant', 'url': 'https://www.realestate.com.au/agent/fayez-yammine-846087?cid={cid}', 'phone': None, 'email': None}]"
138354923,https://www.realestate.com.au/sold/property-house-nsw-merrylands-138354923,Merrylands,NSW,2160,51 & 53 Sheffield Street,"51 & 53 Sheffield Street, Merrylands, NSW 2160",house,2680000,6.0,2.0,2.0,,,1214.0,m²,STAMER,Starr Partners - Merrylands,0297606666,,19 Feb 2022,"Presenting as an enormous high-side 1,214 sqm R4 zoned development site with a wide combined street frontage of 30.27 metres, these two properties being sold together present ideally for the developer seeking the perfect location to create their next multiple residential development subject to council approval. Currently consisting of two well-presented three bedroom stand-alone homes with gas kitchens, high ceilings and generous bedrooms, the existing residences can each be lived-in while development and building plans are prepared. The highly sought after position is just steps to bus transport, 450 metres walk to Stockland Mall and Holroyd Gardens for direct buses to Parramatta, with easy access to the train station, local schools and the Parramatta CBD. This is a rare opportunity to secure a generous R4 site so close to Merrylands Central shopping. Call today for more information.<br/><br/>* Total 1,214 sqm high-side property<br/>* Combined 30.27 metre street frontage<br/>* R4 zoned with 1.2:1 FSR<br/>* Two existing 3 bedroom homes<br/>* Incredible location walk to shopping and transport<br/>* Council: $1,418 Approx. | Water: $334.08 Approx.<br/><br/>DISCLAIMER: All information contained herein is gathered from sources we believe to be reliable, however, we cannot guarantee its accuracy and interested persons should rely on their own enquiries.","[{'id': '1306961', 'name': 'Daniel Starr', 'agent_id': '1bbe3771-d0f9-4000-a80b-3b89853d650d', 'job_title': 'Director', 'url': 'https://www.realestate.com.au/agent/daniel-starr-1306961?cid={cid}', 'phone': None, 'email': None}]"
138195810,https://www.realestate.com.au/sold/property-house-nsw-randwick-138195810,Randwick,NSW,2031,4 Pitt Street,"4 Pitt Street, Randwick, NSW 2031",house,2665000,3.0,1.0,2.0,,,-1.0,,XRWBOA,Ray White Park Coast -   ,0283831111/0293817000,,19 Feb 2022,"Tucked away in a quiet enclave, this double-fronted 1930s attached home brims with charm, practicality and lifestyle possibilities. A flexible layout that integrates the outdoors and abundant natural light at every chance, this solid double brick home is wrapped in sunny alfresco areas perfect for entertaining.<br/><br/>Deceptively spacious and featuring quality inclusions throughout, the ocean views highlight the coastal delights that await close by. It's quiet-street location is an easy walk to Randwick Village shops, Cafes, Coogee Beach and Fred Hollows Reserve. This beautiful appointed home will appeal to downsizers and growing families alike, particularly those looking for that third bedroom space as well as following functioning Home Office environment<br/><br/>• Zoned living areas with original Jarrah hardwood floors and sky light<br/>• Cook's kitchen with Blanco gas cooker & stone benches<br/>• King-size master Master Bedroom. Large adjoining Sunroom provides a with fully functional work-from-home office setup & ocean views<br/>• Double size 2nd bedroom. The flexible 3rd Bedroom space is separately accessible either externally or internally via bedroom 2 and offers many usage options. Currently configured as a Nursery<br/>• Private & tranquil alfresco area amid green surrounds perfect for entertaining or quiet reflection<br/>• Huge Attic store with plans for an owner's retreat (STCA)<br/>• A/C, fans, gas heating, high ceilings, plantation shutters, block out blinds<br/>• Off-street parking for two cars plus just steps to buses<br/><br/>Auction: Saturday the 19th of February at 12pm (On-Site) <br/>Water Rates: $150.99 pq approx.<br/>Council Rates: $581.40 pq approx. <br/>Land Size: 234 sqm approx.<br/><br/>","[{'id': '2861242', 'name': 'Adrian Bo', 'agent_id': '71026428-6d7e-4b2e-adab-021f2dd5d2c4', 'job_title': 'Director & Sales Executive', 'url': 'https://www.realestate.com.au/agent/adrian-bo-2861242?cid={cid}', 'phone': None, 'email': None}, {'id': '2862542', 'name': 'Harrison Jones', 'agent_id': None, 'job_title': 'Sales Executive', 'url': 'https://www.realestate.com.au/agent/harrison-jones-2862542?cid={cid}', 'phone': None, 'email': None}]"
